ID,Name,R_Sun,R_gc,X,Y,Z,AltName,Mstar,K_Age,K_FeH
NGC 6652,,10.0,2.7,9.8,0.3,-2.0,NONE,1.09,12.0,-0.97
NGC 6656,M 22,3.2,4.9,3.2,0.6,-0.4,M22,6.44,12.7,-1.49
Pal 8,,12.8,5.5,12.3,3.1,-1.5,,,,
NGC 6681,M 70,9.0,2.2,8.8,0.4,-2.0,M70,1.79,12.8,-1.35
GLIMPSE01,,4.2,4.9,3.6,2.2,0.0,,,,
NGC 6712,,6.9,3.5,6.3,3.0,-0.5,,,,
NGC 6715,M 54,26.5,18.9,25.6,2.5,-6.5,M54,12.9,10.8,-1.25
NGC 6717,Pal 9,7.1,2.4,6.8,1.6,-1.3,NONE,0.48,13.2,-1.09
NGC 6723,,8.7,2.6,8.3,0.0,-2.6,NONE,3.57,13.1,-0.96
NGC 6749,,7.9,5.0,6.4,4.7,-0.3,,,,
NGC 6752,,4.0,5.2,3.3,-1.4,-1.7,NONE,2.82,13.8,-1.55
NGC 6760,,7.4,4.8,5.9,4.3,-0.5,,,,
NGC 6779,M 56,9.4,9.2,4.3,8.3,1.4,M56,2.3,13.7,-2.0
Terzan 7,,22.8,15.6,21.4,1.3,-7.8,NONE,0.39,7.4,-0.12
Pal 10,,5.9,6.4,3.6,4.7,0.3,,,,
Arp 2,,28.6,21.4,26.4,4.0,-10.2,,,,
NGC 6809,M 55,5.4,3.9,4.9,0.8,-2.1,M55,0.55,13.8,-1.93
Terzan 8,,26.3,19.4,23.8,2.4,-10.9,,,,
Pal 11,,13.4,8.2,11.0,6.8,-3.6,,,,
NGC 6838,M 71,4.0,6.7,2.2,3.4,-0.3,M71,0.2,12.7,-0.82
NGC 6864,M 75,20.9,14.7,17.6,6.5,-9.1,,,,
NGC 6934,,15.6,12.8,9.1,11.7,-5.1,NONE,2.95,11.1,-1.32
NGC 6981,M 72,17.0,12.9,11.7,8.3,-9.2,M72,1.68,10.9,-1.21
NGC 7006,,41.2,38.5,17.2,34.8,-13.7,,,,
NGC 7078,M 15,10.4,10.4,3.9,8.3,-4.8,M15,5.13,13.6,-2.33
NGC 7089,M 2,11.5,10.4,5.6,7.5,-6.7,M2,5.75,11.8,-1.31
NGC 7099,M 30,8.1,7.1,4.9,2.5,-5.9,M30,1.45,14.6,-2.33
Pal 12,,19.0,15.8,11.0,6.5,-14.1,NONE,0.28,8.6,-0.81
Pal 13,,26.0,26.9,1.0,19.1,-17.6,,,,
NGC 7492,,26.3,25.3,7.0,9.4,-23.5,,,,
